exp_id,model,parameter_name,value,assumed_or_estimated,rationale
EXP-02c,finite_dl,intercept,9.416793983090098,estimated,Model fit on observed data
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,-12.637863208881894,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,122.38917063078497,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,54.83189278967594,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,55.14954027974829,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,34.94017472085148,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,6.783998653716288,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,23.010182487402155,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,56.2055582605417,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,-7.759109026829485,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,-2.8908812230914087,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,6.783998653716288,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,23.010182487402155,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,56.2055582605417,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,-7.759109026829485,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,-2.8908812230914087,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
